kalian juga tidak banyak membantu terkait dengan jaringan kalian yang terbukti tidak berkualitas .	kalian juga tdk banyak membantu terkait dengan jaringan kalian yang terbukti tdk berkualitas
admin , mengapa teman saya kartu as - nya tidak bisa diisi pulsa tetapi kalau ditelepon bisa ?	min tmen saya kartu as nya ga bisa di isi pulsa . tp klo di telpon itu bisa , kenapa yak ?
hai kak , maaf ganggu untuk aktivasi nomor yang sudah hangus apakah masih bisa ?	hay kak maaf ganggu untuk aktivasi nomor yang sudah hangus apakah masih bisa ?
terima kasih kak , sudah membantu doa .	makasih ya kak udah bantu doa
tidak ada niat untuk menambahkan fitur bisa topup flazz melalui aplikasi ?	ga ada niatan buat nambahin fitur bisa topup flazz lewat aplikasi ?
humor saya rendah sekali . ampun .	humor gw rendah bet si ampun
admin , saya sudah dm silahkan ditanggapi . terima kasih .	min . ane udah dm silakan ditanggapi thanks .
mau diadili tapi tidak boleh . ah sudahlah .	mau judge tapi ga boleh . ahsudahlah
tidak mau kak bagaimana caranya ?	tidak mau kak bagaimana cara nya ?
bagaimana mau relog ? login saja belum . ini coba di aplikasi tetap tidak bisa .	gmn mau relog , login aja blm ini coba di apk ttp gak bisa
bangun tiduk cek hp banyak sekali promo buat saya . terima kasih .	bangun tidur cek hp banyak amat promo buat wee thx yaa laaf laaf deeh
mengapa sinyalnya jika malam selalu buruk ?	kenapa sinyalnya kalau malam jelek mulu sihh
kak pute sudah malam masih saja mengucapi kak kopir selamat siang .	kak pute ini udah malem masih aja kak kopir di selamat siangi
iya admin , semoga lancar semua kerjaannya .	iya min semoga lancar semua kerjaan nya ya
halo , apa ini memang sedang gangguan top up via m - banking ? kenapa saldo saya tidak bertambah ?	halo apa ini emg lagi gangguan top up via m banking ? kok saldo saya ga nambah ya ?
admin , untuk unlimited applications , apakah termasuk akses facebook lewat aplikasi facebook ?	min untuk unlimited apps , apakah termasuk akses facebook via aplikasi facebook ?
kualitas jaringan jelek . padahal saya di jakarta , masih saja lambat .	kualitas jaringan jelek , padahal saya di jakarta , masih aj lemot
iya om . rawan sekali bagi driver maupun konsumen .	ya om . rawan banget bagi driver maupun konsumen .
hanya alamat yang berubah . jadi harus ke cabang bca terdekat untuk mengganti kartu ya ? apakah ada biaya tambahan ?	hanya alamat yang berubah . jadi harus ke cabang bca terdekat untuk ganti kartu atm ya . apakah ada biaya tambahan ?
admin . tolong balas dm saya . terima kasih .	min tolong balas dm saya . terima kasih .
admin . untuk resi jp , estimasinya berapa hari sampai ?	min untuk resi jp estimasi berapa hari nyampe nya ?
aku baru saja memesan grab , berhasil . sabar .	aku barusan pesen grab bisa kok . yang sabar makanya
admin , ini mengapa lambat sekali indosat memutar video twitter ? lambat sekali .	minn ini kepadah lemot bgt indosat ngeload video twitter lama betul
sudah dibalas dmnya bos . terima kasih sudah direspons .	sdh dibalas dm . nya bos . makasih sdh direspon
tanggalku tua terus karena tidak pernah muda .	tanggalku tua terus soalnya gaperna muda
pengguna yang belum mengaktifkan ovo . ovo - ku sudah aktif entah sejak kapan .	yaahh pengguna yg belum mengaktifkan ovo . ovo ku udah aktif dr tahun kapan t . t
mau buka rekening pakai e - form tapi setelah selesai isi form dan klik kirim malah kembali ke halaman utama . kayak ini :	, mau buka rekening pakai e - form tapi setelah selesai isi form dan klik kirim malah kembali ke halaman utama . kayak gini :
sama , sudah dm di ig tetapi tidak ada jawaban . saya mau tetap mencoba datang ke lokasi nanti sore walaupun saya belum mengisi form .	sama udah dm di ig ga ada jawaban , mau tetep coba dateng ke lokasi nanti sore walau belum isi form
top up via pengemudi sudah tidak bisa kah , admin ?	top up via driver udah gabisa kah min ?
admin , mengapa respon pelayanan publik lambat ? manajer yang sedang bertugas saya minta hubungi ponsel saya , jangan seperti robot di dm yang merespon !	woy min pelayanan publik kenapa slow respon ! manager yg incharge suruh hub ke hp gue deh jgn robot di dm yg respon !
iya . maksudku , mengapa status delivery kurirnya semarang ? kan dikirimnya ke bojonegoro , jawa timur . bukan jawa tengah ( semarang ) .	iya mksdku kok status delivery kurirnnya semarang ? kan di kirimnya ke bojonegoro jawa timur . bukan jawa tengah ( semarang )
ini kendala job po . kode pemesanannya seperti kadaluwarsa , sehingga tidak bisa update otomatis . kalau mengirim po akan banyak , hahaha .	itu kendala job po . kode bookingnya seperti kadarluarsa jadi ga bs update otomatis . mana kalo kirim po kan banyak ye hehe
saya sudah dapat . terima kasih .	udah dapet dong gue , thankyou ️
dari pagi pemesanan grabbike dan grabfood tidak dapat driver . lagi gangguan atau bagaimana ojolnya wilayah jogja ?	dari pagi pemesanan grab bike dan grab food ga dapet driver . lagi gangguan atau gimana sih wilayah jogja ojolnya ?
tolong , dari kemarin sore jaringanya penuh tapi tidak terhubung ke internet . padahal kuota masih lumayan banyak .	tolong dong dari kmaren sore jaringan nya full tapi nggak nyambung ke internet padahal kuota dah lumayan banyak
barang dengan nomor id1913953782285 , sudah lebih satu minggu tidak datang .	barang dengan nomor id1913953782285 sudah lebih satu minggu tidak datang .
sinyalnya kenapa ini tiba - tiba error ? g full bar tapi dibawahnya ada silang kecil yang berarti internet tidak jalan .	sinyalnya napa ini tiba - tiba error ? g full bar tapi dibawahnya ada silang kecil yg berarti internet gak jalan
halo admin , barang saya sejak tanggal sudah di jakarta , tetapi tidak sampai - sampai . admin tolong diperiksa .	halo barang sy dari tanggal sdh dijakarta , tp kenapa gak sampai2 min . tlg dicek min .
bagaimana bos ? urgent . telepon ke menunggu lama sekali . saat sudah nyambung , cs menanyakan panjang lebar keburu habis pulsa masalah tidak selesai .	lha gimana bos . urgen . telopon ke nunggu lama bgt , giliran udh nyambung cs nanyanya panjang x lebar keburu habis pulsa masalah gak kelar .
halo , kalau kartu debit saya yang gambar ayam , emang tidak ada cvvnya ? supaya ada itu saya harus harus ganti kartu ya ?	halo kalo kartu debit saya yang gambar ayam , emang ga ada cvv nya ya ? biar ada itu saya harus ganti kartu berarti ya ?
halo kak , coba kakak ubah ke mode pesawat dahulu , atau restart perangkat hp kakak .	hai kak , coba kakak mode pesawat dulu . atau restart perangkat hp kakak .
selamat siang admin , mohon dibantu untuk pengembalian dana kepada pembeli sekaligus membatalkan nomor transaksi diatas , karena pembeli telah mengajukan pembatalan pesanan . terima kasih .	selamat siang admin , mohon dibantu untuk pengembalian dana kepada pembeli sekaligus membatalkan no transaksi diatas , karena pembeli telah mengajukan pembatalan order . terima kasih
saya sudah top up gopay . mengapa saldo saya tidak bertambah ?	saya udh topup gopay , kenapaa saldo saya tidak bertambah ?
menerobos macetnya ibu kota lebih cepat menggunakan grabbike .	nerobos macetnya ibu kota lebih cepat pake grab bike
sudah dibalas juga dmnya .	udah dibales jg ya itu dmnya
tolong cek dm , admin . akun saya tidak bisa digunakan untuk memesan grabfood , padahal saya sudah beli paket grabfood langganan .	tolong cek dm min , akun saya tidak bisa buat order grabfood , padahal sudah beli paket grabfood langganan
driver di jogjakarta malam ini sibuk semua . luar biasa . sejam klak klik klak klik sibuk melulu .	driver di jogja malam ini sibuk semua . warbiasakk . sejam klak klik klak klik busy mulu .
admin , ini bagaimana ? aku mengisi voucher malah tidak jadi - jadi , seperti ini terus .	min ini gimana ya , aku ngisi voucher malah nggak jadi2 kayak gini terus
malam , kalau saya ke grapari jam malam masih bisa tidak ?	malam , kalo saya ke grapari jam malem masih bisa ga
admin , jaringannya kenapa lagi ? g tapi tidak ada internet . yang sebelah malah lancar jaya .	min jaringannya ngapa lagi dah ? g tp ga ada internet ? yg sebelah malah lantjar djaja .
beberapa kali isi pulsa kenapa masa aktif tidak tambah ? barusan isi seratus juga tidak tambah . apa yang salah ?	bbrp kali isi pulsa kok masa aktif engga nambah ? barusan isi seratus jg engga nambah . apanya yg salah ?
saya juga curiga karena uang yang diambil dalam jumlah yang sama besar , saya sangat kecewa , mohon kejelasannya .	saya juga curiga karena uang yg diambil dalam jumlah yg sama besar , saya sangaat kecewa , mohon kejelasannya
apakah ini bisa disebut penipuan ? beli paket harga rp , saat dapat sms harga berubah jadi rp .	apakah ini bisa disebut penipuan . beli paket harga rp , pas dapat sms harga berubah jd rp
pulsa saya masih sekitar , tetapi kalau menelepon selalu tidak bisa . katanya , sisa pulsa tidak mencukupi . mengapa begitu ?	pulsa saya masih , tp kalo nelpon selalu gabisa . katanya sisa pulsa tidak mencukupi . kok gitu ya ?
sering sekali , setiap malam main permainan mobile legend selalu lag . saya harus bagaimana ? saya lelah selalu seperti ini . saya berlokasi di jakarta pusat dan barat .	sering kali setiap malam main game mobile leg3nd selalu ngeleg , saya harus bagaimana ? saya capek begini mulu , saya berlokasi di jakarta pusat dan barat .
model penipuan mengatasnamakan bri . dimohon kepada pak polisi untuk ditindak .	model penipuan mengatasnamakan bri . mohon pak polisi di tindak .
baik , kak natha . jika masih gagal , ayo infokan langsung ke terkait agar dibantu lebih lanjut . - letha .	baik , kak natha . jika masih gagal , yuk infokan langsung ke terkait agar dibantu lebih lanjut - letha
admin . saya mau komplain terkait dengan nomor resi jp . barang diterima dalam keadaan plastik terbuka , sehingga barang ada yang jatuh dan hilang .	min saya mau komplain terkait dengan no resi jp barang diterima dalam keadaan plastik terbuka sehingga barang ada yg jatuh dan hilang
sudah admin , sampai voucher habis , mata perih , perut lapar , atm kosong . nanti kalau lapar , tinggal makan makanan kucing . aduh .	udah min , nyampe abis tu voucher , mata perih , perut laper , atm kosong , tar kalo laper tinggal makan makanan kucing , hadeeh
lebih bangsat ini . mahal saja . kencang tidak , lag iya .	lebih bngst ini sih , mahal doank kenceng kagak , ngelag iya
admin tolong hapuskan langganan iflix soalnya saya tidak pernah menggunakan aplikasi itu .	min tolong hapuskan langganan iflix soalnya saya tidak pernah kenggunakan aplikasi itu
cara lihat kode disebelah mana ? saya cari tidak ketemu . ingin mencocokkan dengan kode yang diumumkan sctv barusan .	cara liat kode di disebelah mana ? saya cari kok ga ketemu2 , pengen nyocokin dengan kode yang diumumin sctv barusan
selamat malam , ingin bertanya , cara mengenai pendaftaran produk di gojek bagaimana ?	selamat malam ingin bertanya cara mengenai pendaftaran produk di gojek gmn ya ?
kartu e - money dengan logo gojek terbaru ada tidak ?	kartu e - money dengan logo gojek terbaru ada gak sih ?
mengapa sudah dua hari ini tidak bisa memesan gofood ?	knp udah dua hari ini ngga bisa pesan gofood ?
di operator lama yang saya gunakan , nik sudah saya unpair .	di operator lama yg sy gunakan , nik sdh sy unpair .
telat bayar wifi saat mau bayar jadi ribu .	telat bayar wifi pas mau bayar jadi ribu
hujan saja sinyal hilang . bangkai !	ujan aja sinyal ilang . bangke !
sudah selesai semua , tapi tidak bisa . baru bisa tadi di jam . biarkan saja pindah telkomsel !	wes mari kabeh tapi gak iso , iso e sek tas mau jam . babah pindah telkomsel au
makanya setiap setelah sholat berdoa , meminta dikasih hati yang tenang .	makanya setiap hbs sholat berdoa , meminta di kasih hati yg tenang .
selamat pagi , mau bertanya apakah ada tabungan di bank mandiri untuk milenial ?	selamat pagi , nanya dong ada nggak tabungan di bank mandiri yg buat milenial ?
iya kak aura kasih , saya tunggu respons balasan pesannya .	iya kak aura kasih , saya tunggu respon balasan dm nya
admin , sudah hampir seminggu xl saya jadi lambat sekali . mengapa ya ?	udah hampir seminggu xl saya jd lemot banget min . knp ya ?
tolong saya bayar pakai dana , saldo terpotong tapi dikasir katanya gagal . dari tidak mau membantu .	tolong saya bayar pakai dana saldo kepotong tp dikasir katanya gagal , dari gak mau bantu
mengapa kalau paket gagal dikirim seperti ini ?	ini kenapa ya kalo paket gagal dikirim gini ?
kak fit . jika kartu terblokir , apakah bisa kembali seperti semula ?	kak fit kalo . kartu ke blokir bisa balik lagi kak ?
admin , mau nanya . lagi ada gangguan atau bagaimana ? mengapa jaringannya hilang - hilangan ?	min mau nanya nih lagi ada gangguan atau gmna kok jaringannya ilang2an ya ?
tolong admin pesan gofood seperti brian kemarin . saya ngiler lihatnya . jogja jakarta dekat .	tulong min order gofud kek brian kemaren , aing ngiler liatny jogja jakarta deket lah
halo admin , bagaimana kalau paket saya misroute ?	halo min , kalo paket saya misroute gimana ya ?
admin , kenapa aku tiap top - up saldo pakai m - banking selalu masuk ke aplikasi ovo ? bagaimana cara memindahkan saldo dari ovo ke grab ?	min ko aku tiap top up saldo pake m banking masuknya ke app ovo trs , cara mindahin saldo dari ovo ke grab gmn minn
apakah tidak ada lagi best deal yang gb / hari yang harganya ribu seperti kemarin ?	gaada lagi best deal yg gb / hari yg harga nya rb kaya kmaren gitu ? hmm
tadi sore saya mendapatkan telepon dari nomor . apakah itu nomor resmi dari indosat atau penipuan ? terima kasih .	tadi sore saya mendapat telpon dari nomor , apa itu nomor resmo dari indosat atau penipuan ? thx
tidak perlu melayani cuitan si dumber . dia saja yang fakir kuota .	tidak perlu layani cuitan si dumber . dia saja yang fakir kuota
betul , terkait cashback . terlihat sepele , namun cara menanganinya yang membuat sakit hati dan sangat mengecewakan .	betul , terkait cashback . terlihat sepele , namun cara menghandlenya yg bikin sakit hati & sangat mengecewakan .
pesanan tidak sampai , uang hilang . benar - benar pengemudi membuat kecewa . makin banyak saja orang jahat .	orderan g sampe , duit ilang . bener2 de driver kecewa makin banyak aja org jahat y
mau daftar grab food juga susah .	mau daftar grab food juga susah
dm twitter , mengapa tidak bisa ?	dm twitter ko gabisa ya ?
kak , tolong balas sekarang , karena ingin beli paket .	ka please bales skrng mau beli paketan soalnyaa
mengapa g di bawah mbps ? g palsu !	kok dibawah mbps . g abal - abal
pulsa terpotong ribu , bagaimana ?	pulsa kesedot rb , gimana nih ?
minta alamat lengkap kantornya dengan nomor teleponnya aja . lebih baik , saya ambil sendiri barangnya ke kantor kalian .	minta alamat lengkap kantor nya sm no telp aja lah , mending saya ambil sendiri barang ke kantor kalian
halo . nomor resi kenapa tidak kunjung sampai ? kenapa om ?	halo no resi kok gak sampai2 kenapa ya om ?
admin tolong dibantu gf tolong dibatalkan kata drivernya tidak ada restorannya di lokasi .	min tolong dibantu gf tolong d cancel kata drivernya ga ada restonya di lokasi .
fitur bayar bpjs terdapat pada gambar a , yaitu fitur asuransi .	fitur bayar bpjs terdapat pada gambar a , yaitu fitur asuransi .
butut . koneksi mahal hanya kuat dipakai whatsapp saja .	butut , koneksi mahal cuma kuat dipake wasapan doang !
hai admin . saya baru saja memperbaharui aplikasi bri mobile . saat mau masuk ke internet banking , mengapa muncul aktivasi ? bisa tolong dibantu ?	hai admin , sy baru saja update apl bri mobile . saat may login internet banking knp muncul aktivasi ya ? bisa dibantu ?
halo admin , resi jb sampai mana ?	halo min , resi jb sampai mana ya ,
seberapa kamu ? ada rapat kepanitiaan jam . terus ? jam pagi sudah mandi dong .	seberapa kamu ? ada rapat kepanitiaan jam terus ? jam pagi udah mandi dong
sudah saya hubungi kembali melalui dm , mohon bantuannya segera . terima kasih banyak .	sudah saya hubungi kembali melalui dm ya , mohon bantuannya segera ya . terima kasih banyak
sudah non aktif , jaringannya juga sudah g atau g . tetap tidak bisa .	sudah off , jaringannya jga udh g / g . tetep ga bisa
coba cek ke website jnt langsung . kadang suka beda track di shopee dan di website .	cb cek ke website jnt langsung , kadang suka beda track di shopee dan di website
maaf admin , ini mengapa banyak sms sampah masuk ? apakah data kita bocor ? padahal tidak pernah isi pulsa di toko .	maaf min ini kok banyak sms sampah masuk ? apakah data kita bocor ? padahal ndak pernah isi pulsa di konter
baik , ditunggu perkembangannya ya . terima kasih .	baik , di tunggu progress nya ya . terimakasih
semoga semakin maju dan pembangunan merata , serta jakarta hilang macetnya dan di kalimantan juga tidak macet .	semoga semakin maju dan pembangunan merata , serta jakarta ilang macetnya dan di kalimantan juga gak macet
besok dipanggil lagi ke bpsk ? tidak ada malu itu memang tidak ada batasnya .	besok dipanggil lagi ke bpsk ? tidak ada malu itu memang nggak ada batasnya .
admin , tolong cek dm ya . terima kasih .	min tolong cek dm ya . terima kasih
saya tidak bisa mengirim dm ke akun ini .	saya gabisa mengirim dm ke akun ini .
apa yang terjadi dengan sinyal ini ? tolong betulkan , aku bahkan tidak bisa membuat panggilan yang mendesak . kamu menghambat bisnisku .	what is happening to this signal ? please fix this i can ' t even make a call that is very urgent . you are halting my business .
dear mohon dibantu follow up pengiriman order sesuai dm . terima kasih .	dear mohon dibantu follow up pengiriman order sesuai dm ya . terima kasih
saya cuma dapat tapi alhamdulillah .	gw cuma dpt tp alhamdulillah
bisa jadi admin grab - nya salah ketik .	bisa jadi admin grabnya salah ketik .
bagaimana mas caranya ? punya saya begini melulu .	gimana mas caranya ? punya saya gimi mulu .
mengapa laporan saya dengan nomor belum teratasi ? ovo payah ! lama sekali !	laporan saya : kenapa belum ter atasi ! payah ovo ! lama amat !
selamat pagi , sejak kemarin masih kosong , tidak bisa melakukan penarikan .	selamat pagi , dari kemarin masih kosong nih , gak bisa penarikan .
koneksinya dari semalam sangat jelek !	weey ini koneksinya dari semalem apa banget dah .
gara - gara ini aku tidak jadi bayar google one . hahaha .	gara2 ini aku ga jadi bayar google one . hahaha
dear jne , mohon bantuan untuk dilacak dimana posisi paket saya dengan nomor resi socad11806063319 . layanan jen oke . terimakasih atas bantuannya .	dear . jne . mohon bantuan utk di lacak di mana posisi paket . saya dengan on resi socad11806063319 . layanan jen oke . tks . atas bantuannya
mahasiswa selandia baru - ayo cek kesempatan yang sangat keren ini ! ayo kerja di salah satu perusahaan teknologi terdepan di indonesia .	kiwi students - check out this seriously cool opportunity ! work for one of indonesia ’ s leading tech companies ‍ ️
sudah ada kasus seperti ini . temenku ada yang kena .	udah ada kasus kayak gini . temen ku ada yg kena dong
iya , tolong tambah lagi malam ini saja .	iyaa tlong dongg nambah lagi malem ini ajaa
halo , saya baru download grab lagi dan mau login pakai nomor yang sudah terdaftar tapi mengapa tidak bisa masuk ?	haloo saya baru download grab lagi dan mau login pake nomor yang sudah terdaftar tapi kok gabisa masuk yaa ?
itu nomor resi standar e - ress / iwe dari korea , ketika sudah sampai di indonesia yang lainnya dilanjutkan dengan jne , bagaimana melacaknya ?	itu no . resi standar eress / lwe dari korea , pas udah sampe di indo yg lain dilanjutinnya pake jne , gimana lacaknya ya ?
di ruang tunggu bandara , untuk nasabah solitare , apakah fasilitas yang dapat dinikmati seperti makan , minum , pijat juga gratis ?	di airport lounge untuk nasabah solitare fasilitas yang dapat dinikmati itu seperti makan minum , pijat apakah juga free min
"terima kasih admin atas perhatiannya . tidak seperti "" dia "" yang sikapnya dingin dan acuh seperti es batu ."	"makasih lho min atas perhatiannya . gak kayak "" dia "" yg sikapnya dingin dan atos koyo es batu"
dan apapun alasannya , memang sudah peraturan dari jnt ya kalau pelanggan itu harus dikunci dari luar ? aduh , jera menggunakan jnt .	dan apapun alasannya emg udah peraturan dari jnt ya kalo pelanggan itu harus dikunciin dr luar ? doh kapok pake jnt
mohon bantuan update transaksi dengan nomor resi otomatis jb . sudah dikirim tetapi belum berubah , kak .	bantu update transaksi dengan no resi otomatis jb sudah di kirim belum berubah kak
insentif driver kaltim di turunkan . terpaksa berpindah dulu .	insentif driver kaltim di turun kan . yah terpaksa berpindah dulu .
sudah aku dm dari tadi pagi , kak , sebagai informasi saja .	udah aku dm lho kak dari tadi pagi , fyi aja
pakai wi - fi vsat . seluler mati sudah hampir dua minggu .	pake wipi vsat . seluler mati udah mau dua minggu
dari tadi mention terus tidak dibalas . tolong dibalas . dm saya juga tolong dibalas .	dari tadi mention terus gak dibalas . tolong dong dibalas . dm saya juga tolong dibalas
saya malah sudah dari tanggal selesai , belum juga dapat reward - nya sampai sekarang .	sy malah udh dari tgl beres , blm jg dpt rewardnya smp skrg
tidak . malas tidak ada kuota .	ogah ah males ga ad kuota
layanan grabfood kenapa tidak bisa dibuka admin ?	layanan grabfood kok nggabisa dibuka ya min ?
admin , mau tanya . cara mengaktifkan nomor indosat yang sudah terblokir karena lupa isi pulsa bagaimana ?	min , mau nanya . cara mengaktifkan no indosat yang sudah terblokir karena lupa isi pulsa , gmn yah ?
selamat malam , saya mau tanya atas nomor mengajukan pulsa sos . mengapa saat cek pulsa tidak masuk ? atau dipakai ? bisa tolong dikembalikan tidak ?	selamat malam , saya mau tanya atas nomor mengajukan pulsa sos kenapa pas cek pulsa gak masuk ya ? atau diserot ? bisa tolong dikembalikan nggak ?
halo , tolong balas dm saya .	haloo tolong baless dm sayaa
hahaha , benar juga . lebih banyak pilihannya .	wkwkwkk bener juga , luwih akeh pilihane
min . admin . dengarlah ratapan kami yang koneksinya buruk . kira - kira lah , koneksi seperti ini tapi bilangnya .	min . miminn . dengarlah ratapan kami yg koneksinya busuk min . kira2 lah koneksi kyk bgini , blngnya .
sore admin . ini ada keluhan nomor saya , pulsa terpotong terus . padahal tidak berlangganan paket apapun . tolong diperiksa min .	sore min , ini ada keluhan nomer saya pulsa kesedot terus , padahal tidak berlangganan paket apapun . tolong di cek min
halo , selamat pagi . kalau atm mandiri terblokir karena salah password , mandiri online ikut terblokir tidak ? terima kasih .	halo selamat pagi , kalo atm mandiri terblokir krn salah pswrd , mandiri online ikut keblokir tdk ? tks
saya sudah kirim email berikut bukti gagal dan screenshot sms masuk dari , mohon diproses , terima kasih .	sudah saya kirim email berikut bukti gagal dan screenshot sms masuk dari , mohon diproses , terima kasih
kalau saya setuju dan kemudian saya menolak , apakah tidak bisa disetujui ? jadi gimana solusi buat saya ?	kalo saya setuju dan kemudian saya menolak tidak bisa di setujui ya ? jadi gimana solusinya buat saya ?
tadi aku dm telkomsel menanyakan kapan aku dapat hadiah ? hahaha .	td aq dm telkomsel , nanyain kapan aq dpt hadiah ️
pernah dahulu mengantar papa kontrol ke rs , oleh pengemudinya digratiskan untuk kami karena sudah mengurus bapaknya yang sakit .	pernah dulu nganter papa mau kontrol ke rs , sama driver nya mau digratisin buat kita nya karna udah ngurus bapaknya yg sakit
kiriman saya dengan resi , mengapa statusnya masih on process di website ? padahal , seharusnya hari ini sudah sampai karena menggunakan paket yes .	kiriman saya dgn resi kok tulisannya masih on process ya di website ? pdhl harusnya hari ini sdh sampai krn pakai paket yes
seharian ini memesan go - food , lama sekali dapatnya . go - ride juga sama . sekalinya dapat , pengemudinya sangat jauh ,	seharian ini order go food lama bgt ga nyantol , go ride pun juga . sekalinya dapet , driver nya jauh bgt
mau memaketkan harian mengapa selalu tidak bisa admin ?	mau maketin harian kok gabisa teus min
apa yang sedang ramai biskuit hijau ?	ini yg lagi rame biskuit ijo yak ? wkwk
tolong , pulsa belum masuk , padahal saya sudah transfer juga . terima kasih .	tolong pulsa belum masuk . udah transfer juga . makasih .
admin , top up unlimited kenapa selalu gagal ? gangguan kah ?	min , topup unlimited kok gagal terus . gangguankah ?
telkomsel itu yang di lantai dab lantai bawah yang sinyalnya bagus jika dekat jendela .	telkomsel itu yg di lt15 dan besmenn sinyalnya bagus ( kalau deket jendela )
maaf , mengapa saya tidak bisa mengirim dm ya ? nomor saya , ingin mendaftar paket freedom yang ribu dapat giga kak .	maaf saya kok gk bisa dm ya ? no saya mau daftar paket freedom yg k dapat giga kak
halo admin . pulsa saya ribu hilang ke mana ya ? bisa tolong diperiksa penggunaan pulsanya ?	halo admin , ini pulsa saya k ilang kemana yaa ? bisa tolong cek traffic pemakaian pulsanya ?
sudah saya dm tolong dibales .	sudah saya dm tolong di bales
"halo , kenapa mau isi voucher kuota tidak bisa ? tulisannya "" ulangi setelah beberapa saat lagi "" . selalu begitu dari pagi . kenapa ini ?"	"hello , knp mau isi voucher kuota ndak bisa ya ? tulisannya "" ulangi setelah beberapa saat lagi . gitu terus dari pagi ? kenapa ni ?"
hai admin , bisa bertanya tentang bni autopay ?	hai admin , bisa bertanya tentang bni autopay ?
admin , jne trucking dari medan ke pinang ranti berat sekitar kilo berapa admin ? saya cek malah tambah mahal admin .	min jne trucking dr medan ke pinang ranti berat sekitar kilo brp y min ? sya cek kok malah tambah mahal min ?
admin , m - banking saya terblokir karena lupa password . boleh dibantu cara aktivasi kembali m - banking saya ?	min m - banking saya keblokir gara gara lupa password , boleh dibantu cara aktivasi kembali m - banking saya ?
halo admin . saya transaksi di yoshinoya menggunakan promo gratis jajan dan makan , mengapa cashbacknya tidak masuk ?	halo min , saya transaksi di yoshinoya pake promo gratis jajan dan makan kog cashbacknya ga masuk ya ?
berarti harus aktif satu card saja sesuai card yang dipakai verifikasi ? oke deh terimakasih .	berarti harus aktif satu card saja sesuai card yang di pakai verifikasi ? okedeh terimakasih
indosat gila , pulsa tersedot lagi ribu . bagaimana ini ? anjir !	indosat gila , pulsa kesedot lagi rb gimana ini woy anjir
dari paket saya di bekasi gateway terus . apakah tersangkut , admin ? nomor resi jp .	dari paket saya di bekasi gateway terus , nyangkut min ? no resi jp
sudah dua hari macet begitu dari tanggal tidak diantarkan . padahal sudah di kota saya ini kurirnya . mengapa ya tolong follow up jp .	udah dua hari stuck gitu dari tanggal gak dianterin padahal udah di kota saya ini kurirnya kenapa ya tolong follow up jp
saya barusan isi saldo gopay tapi tidak masuk .	saya barusan isi saldo gopay tapi ga masuk ?
tolong cek dm , admin .	tolong cek dm min haiss
iya mas ndang , dibenarkan ya . apalagi untuk airlangga kampus c , telkomsel lambat .	iyaa mas ndang dibenerin yaa . apalagi buat airlangga kampus c lemott telkomsel
admin . kenapa saya mencari menu gofood tidak ada ? kemudian , saat ingin mengisi gopay , abang tidak mau .	min kok saya nyari menu gofood gada si ? terus sama waktu mau isi gopay abangnya ga mau
permisi , selamat malam , ini saya beli pulsa , lalu saya daftarkan paket unlimited sebesar . kenapa sampai sekarang tidak bisa mengakses kuota ?	permisi selamat malam , ini saya beli pulsa , lalu saya daftarkan paket unlimite sebesar kenapa sampe sekarang tidak bisa mengakses kuota ?
bagaimana ini , paket saya dari kemarin stuck padahal sudah dekat . aduh bagaimana sih .	gmn nih paket saya dr kmrn stuck pdhl udh deket hadeh gmn sii
ini masih gangguan sinyal g . tidak bisa aktif datanya ?	ini masih gangguan sinyal g ga bisa aktif datanya ?
saya juga gagal paham , apakah penjual dapat kali ?	saya jg ggl paham , apakan merchant bsa x ?
eh salah admin , maksudnya a hahaha .	egh salah min masukdnya a heeheh
jaringan internet g saya error , hanya bisa h + . itu saja lambat sekali .	jaringn internet g saya error , hanya bisa h + itupun lemot sekali .
gimana ? j & t sudah hari paket saya tidak ada perkembangan .	gimana nih , j & t udah hari paket saya gak ada perkembangan !
malam . saya mau buka rekening tahapan bca . apakah bisa jika belum memiliki npwp ? sudah punya ktp .	malam , saya mau buka rekening tahapan bca apakah bisa jika belum punya npwp ? sudah punya ktp
tidak ada bermain ps bersama sinb ?	main ps sama sinb ga ada ?
ha sung woon , red velvet , tiffany hwang , kyuhyun .	ha sung woon , red velvet , tiffany hwang , kyuhyun
nomor order adr , pengemudi atas nama slamet riyadi , saya minta tolong kirim kontak / nomor telepon pengemudi tersebut , karena saya belum membayar . saya ingin transfer ke bapaknya .	no . order adr driver an slamet riyadi , saya minta tolong kirim kontak / no telfon driver tersebut , karena saya belum bayar . pengen saya transfer ke bapaknya
saya kira hanya saya saja yang seperti ini .	kirain cuma aku doang yg kek gini
hati - hati ya guys ! semakin banyak orang cari cara dapat uang haram .	hati2 ya guys ! makin banyak orang cari cara dapet duit haram
kak , tujuan aku ini apa ? komplain tidak di respons , di dm juga tidak dibaca . ini jadinya solusi saya tidak bisa beli kuota bagaimana ?	kak tujuan akun ini apasih ? komplain ga d respon , di dm juga ga dibaca . ini jadinya solusi saya ga bisa beli kuota gimana ?
periksa dm , dengan membuktikan pengembalian .	cek dm , pake buktin pengembalian donk .
saya sudah tidak kuat menggunakan indosat dari dua tahun yang lalu . akhirnya saya ganti kartu hahaha .	gua udah ga kuat dri dari pake indosat udah dari dua tahun lalu . akhirnya ganti kartu wkek
